base,prime_factors,radical,phi_over_b,candidate_count_exact,candidate_density_exact,relative_candidate_sites_vs_odd,kl_from_uniform_bits,normalized_entropy,reduced_chi2,max_prime_rate_lift,min_prime_rate_lift,lift_cv,excess_transition_js,excess_internal_js,excess_digit_sum_js
12,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,1.217929453585009e-08,0.9999999966035159,0.0324480693356885,1.000258596104732,0.9997639406611712,0.0001299689203836,0.0091269364827696,-4.419300177936867e-05,0.0502052704037928
13,13,13,0.9230769230769231,92307692,0.9230769292307693,1.8461538584615385,4.687634769684256e-08,0.9999999869393675,0.0407918400834434,1.000550751817431,0.9995883488480616,0.000254913311343,0.0004087644255596,-5.399572742476021e-05,0.5016741509497055
14,2*7,14,0.42857142857142855,42857142,0.42857142428571426,0.8571428485714285,7.609052698587915e-08,0.9999999774807344,0.0726452669529364,1.0007298093751007,0.9992977587400544,0.0003247604932052,0.0076473382644568,-5.363254886560127e-05,0.0425479410797365
15,3*5,15,0.5333333333333333,53333332,0.5333333253333332,1.0666666506666664,7.530618279766532e-08,0.9999999781930207,0.0670920119326806,1.0007028597041063,0.999407148545392,0.0003230997107134,0.0054518774676357,-6.016136892515134e-05,0.4003449265453213
16,2,2,0.5,49999999,0.499999995,0.99999999,8.655322990991143e-08,0.9999999759013666,0.068242656138795,1.0007277031815072,0.999361828181778,0.0003464150524035,0.0052592773639751,-0.0001008738078692,0.0227171636440732
17,17,17,0.9411764705882353,94117647,0.9411764794117647,1.8823529588235295,1.0301698176733432e-07,0.9999999727275779,0.0679465195504721,1.000830523441762,0.9993503401087216,0.0003779199602318,0.0003637408858884,-0.0001117553172846,0.4589980653163527
18,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,1.1163533936927592e-07,0.9999999696498832,0.0682290740903775,1.0008653562951293,0.9993085675108764,0.0003931441109676,0.0127069777365673,-9.274447390786518e-05,0.0319964940512786
19,19,19,0.9473684210526315,94736842,0.9473684294736843,1.8947368589473685,1.1593431909153022e-07,0.9999999698009749,0.068963396475795,1.000826037167548,0.9993488299979688,0.0004008644171003,0.000352553380202,-0.0001328205555223,0.5076737291613794
20,2*5,10,0.4,39999999,0.39999999399999994,0.7999999879999998,1.5358218543598532e-07,0.9999999591561437,0.085627790406226,1.0009748968065298,0.9990723108480672,0.0004614155654277,0.0112255000483498,-0.0001335712091722,0.0133190175958595
21,3*7,21,0.5714285714285714,57142856,0.5714285657142857,1.1428571314285714,1.537292966702131e-07,0.9999999607245374,0.085448664355279,1.0009097726429006,0.9990150896669488,0.0004616196682624,0.0026141752692987,-0.0001574552473514,0.3356152390094638
22,2*11,22,0.45454545454545453,45454544,0.4545454445454544,0.9090908890909088,1.789212876464938e-07,0.9999999551355814,0.090763338073307,1.0011163692796227,0.9990198612455776,0.0004979933494814,0.0097331800177594,-0.0002000637544454,0.0111329871996526
23,23,23,0.9565217391304348,95652173,0.9565217495652176,1.9130434991304352,1.8397321843516432e-07,0.9999999543688143,0.0844944184313927,1.0011273284445923,0.9990857775212732,0.0005049433167784,0.0003452770934027,-0.0002190988308219,0.4675944566146273
24,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,2.097678316878016e-07,0.9999999486801916,0.0921097200754503,1.001238012513261,0.9988837219275354,0.0005392659573663,0.0145804011235087,-0.0002082419435448,0.0173020148694164
25,5,5,0.8,79999999,0.799999998,1.599999996,2.3640419852817287e-07,0.9999999420431524,0.0958561792054599,1.0011195012140264,0.9990560738165768,0.0005724728707835,0.0005623889408554,-0.0002512929437952,0.3363432367166131
26,2*13,26,0.46153846153846156,46153845,0.4615384546153845,0.923076909230769,2.7853033242041886e-07,0.9999999345113917,0.107290032074653,1.001332254500254,0.9988783750225728,0.0006217558895346,0.0109248157853632,-0.0002683615404256,0.0095869587988002
27,3,3,0.6666666666666666,66666666,0.6666666666666666,1.3333333333333333,2.50651111257838e-07,0.9999999417592184,0.0893288074184594,1.001111394458083,0.9991244268998084,0.0005900113950665,0.0030700409557942,-0.0002981211634414,0.3381224745405954
28,2*7,14,0.42857142857142855,42857142,0.42857142428571426,0.8571428485714285,3.441398530286968e-07,0.999999922848296,0.1148917068671769,1.0012930265585197,0.9986159352980464,0.0006907193499703,0.0119138916252696,-0.0003168768743817,0.0108932877508081
29,29,29,0.9655172413793104,96551724,0.9655172496551725,1.931034499310345,3.139356907024953e-07,0.9999999318149494,0.0992780879774417,1.0013186848416812,0.9988063125831088,0.0006597514754854,0.0003364292509309,-0.0003457374971063,0.4723332596644497
30,2*3*5,30,0.26666666666666666,26666665,0.2666666526666665,0.5333333053333331,2.21147402612587e-08,0.99999999262842,0.0252329249468433,1.000252057313013,0.9997258010649104,0.0001750659278425,0.0236258802238814,-0.0003729365614181,0.0181981414360426
31,31,31,0.967741935483871,96774193,0.9677419396774194,1.9354838793548388,4.161732009997793e-07,0.9999999104841144,0.1223225774905211,1.001564258043217,0.9985919017497096,0.0007598082856275,8.349204424767027e-06,-0.0004515871093482,0.5816744838255293
32,2,2,0.5,49999999,0.499999995,0.99999999,4.453004242455358e-07,0.9999999054873464,0.1264763361233876,1.001471320350277,0.9986214573473004,0.0007857290062232,0.017946581441703,-0.0004194117790189,0.0073461278969678
33,3*11,33,0.6060606060606061,60606059,0.6060605960606059,1.212121192121212,4.457137023239799e-07,0.9999999071960229,0.126464780491136,1.001561422024712,0.9986840045078564,0.0007861156789393,0.0059973620177611,-0.0004957017975761,0.3367248253471599
34,2*17,34,0.47058823529411764,47058822,0.4705882247058822,0.9411764494117643,4.5944108514155e-07,0.9999999054074091,0.1261046446878874,1.0016049190091847,0.998713953515034,0.0007981052255244,0.0145395502497085,-0.000536502300987,0.0064909372169146
35,5*7,35,0.6857142857142857,68571427,0.6857142768571427,1.3714285537142854,4.689268524080026e-07,0.9999999047693784,0.1268969052550735,1.0015304351100465,0.9987880244012552,0.0008064194548196,0.0036405067497896,-0.0005965550848598,0.4022676519311653
36,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,4.21404352731079e-07,0.9999999158445644,0.1103813981068887,1.0015517371321407,0.9987201630368852,0.0007643204016875,0.0200602080457803,-0.0006188765228041,0.0051344490600851
37,37,37,0.972972972972973,97297297,0.9729729797297297,1.9459459594594593,4.986984224053414e-07,0.9999999013025436,0.1273280412572565,1.0018225606183235,0.9985523826269514,0.000831691363665,0.0003099039967636,-0.0006744583177341,0.4812214262564662
38,2*19,38,0.47368421052631576,47368420,0.473684204736842,0.9473684094736839,4.897252045193493e-07,0.9999999031747756,0.1233294579111952,1.0015082156158756,0.9985950155576032,0.0008239996168101,0.0160089516940892,-0.0007429799273898,0.0055459235154128
39,3*13,39,0.6153846153846154,61538460,0.615384606153846,1.230769212307692,5.188492164799774e-07,0.9999998983396682,0.1241923752164874,1.0016548017102045,0.9984043894531804,0.0008481598222532,0.0066488910073501,-0.0007404853730994,0.3355387517426821
40,2*5,10,0.4,39999999,0.39999999399999994,0.7999999879999998,4.451323447209924e-07,0.9999999151786354,0.1049661394496236,1.0014678953051178,0.9987737992037722,0.0007843138589365,0.0187834909202053,-0.0008947520786849,0.0036656608240084
41,41,41,0.975609756097561,97560975,0.9756097597560976,1.951219519512195,5.334375652198257e-07,0.999999896634593,0.1257147826638734,1.0018016071300073,0.9983693737808002,0.0008600028697286,0.0002910211883297,-0.0009042669889073,0.4865723958990022
42,2*3*7,42,0.2857142857142857,28571427,0.28571427285714274,0.5714285457142855,1.6109084194756156e-07,0.9999999638004889,0.0468830285707327,1.0008037974565356,0.999388598544667,0.0004714555549736,0.0208646920971931,-0.0008501987069342,0.0040029752165437
43,43,43,0.9767441860465116,97674418,0.9767441897674419,1.9534883795348839,6.088931311514715e-07,0.9999998834234486,0.1359071156965208,1.002066881077505,0.9982105441986908,0.0009195083666236,0.0003586649597143,-0.0010280429723444,0.5588482574768057
