panel,sample_min_p,sample_intervals,wheel_through_q,model_valid_all_intervals,invalid_interval_count,dispersion_ratio_R,fraction_initial_dispersion_deficit_explained,surviving_candidates_total,actual_primes_total,prime_fraction_among_survivors,composite_candidates_eliminated_fraction,max_conditional_probability_mu_over_C,median_conditional_probability_mu_over_C
p>=1009,1009,832,31,True,0,0.4259932841938796,0.20997018862785635,9448387,3640443,0.38529782914268856,0.90016936478691,0.4743152270356962,0.3913350115152448
p>=1009,1009,832,37,True,0,0.43397633658326495,0.22095760253729618,9193022,3640443,0.3960006839970578,0.9045587408141565,0.4883343963076872,0.40221040837374794
p>=1009,1009,832,41,True,0,0.441631881286582,0.23149425371465873,8968798,3640443,0.405900879917242,0.9084128455283239,0.5006660729821237,0.4122509177082645
p>=1009,1009,832,43,True,0,0.44939230750758996,0.24217525777737287,8760213,3640443,0.41556558042595537,0.9119981371643869,0.5136366966345104,0.4218813430396515
p>=1009,1009,832,47,True,0,0.4568816996679419,0.2524832261561494,8573782,3640443,0.42460176850776005,0.9152026317589305,0.5263639776130646,0.43106262238891674
p>=1009,1009,832,53,True,0,0.4639088287597349,0.26215496224913276,8411919,3640443,0.4327719988744542,0.9179848359446968,0.5377859807439087,0.43927066738484266
p>=1009,1009,832,71,True,0,0.4897579096551291,0.2977321496610468,7898665,3640443,0.46089345478001664,0.9268069721164056,0.5741228713347133,0.46806632782041546
p>=1009,1009,832,97,True,0,0.5193824064965056,0.338505602317814,7434640,3640443,0.4896596203716656,0.9347829289274138,0.6081710579782853,0.4975295916029484
p>=1009,1009,832,127,True,0,0.5514320654924321,0.38261690860372444,7035685,3640443,0.517425524309289,0.9416404211951489,0.6423232124219903,0.5255502839212194
p>=1009,1009,832,173,True,0,0.592903251577927,0.43969546259675646,6631566,3640443,0.5489567622489168,0.948586675579089,0.6771821145921769,0.5572726065965194
p>=1009,1009,832,251,True,0,0.6510712177267248,0.5197545038222563,6221041,3640443,0.5851822870159512,0.9556430403651224,0.7287965926587293,0.59278645833076
p>=1009,1009,832,313,True,0,0.6945023850802385,0.5795306632418925,5996241,3640443,0.607120861219554,0.9595070457336147,0.7668438579876568,0.6144881601467514
p>=1009,1009,832,397,True,0,0.7458796142563091,0.6502433248834754,5792355,3640443,0.6284910023643233,0.9630115679692037,0.8066680094085661,0.6366453827562155
p>=1009,1009,832,499,True,0,0.8177657591700632,0.7491832779234432,5576718,3640443,0.6527930944329622,0.9667180738662036,0.8559122774247867,0.6616244455405249
p>=1009,1009,832,631,True,0,0.9144809739127294,0.8822965338418163,5372817,3640443,0.6775669076389537,0.9702228539313325,0.8976640958357519,0.6872951254360959
p>=1009,1009,832,797,True,0,1.0746769400863658,1.1027810429141522,5171985,3640443,0.7038773314307756,0.973674882072636,0.9590678287756568,0.7142768574832956
p>=1009,1009,832,997,False,3,,,4975376,3640443,0.7316920369435396,0.9770543226041924,1.0168905129825223,0.7432775843035679
p>=4001,4001,450,0,True,0,0.3018468520575481,0.0,46828878,2688678,0.05741495664277927,0.0,0.06027747502246993,0.05758593714112427
p>=4001,4001,450,2,True,0,0.3215014271794824,0.028152240206692318,23414214,2688678,0.1148310167490568,0.5304612122283089,0.1205624819048702,0.11517299319681737
p>=4001,4001,450,3,True,0,0.3438968416053327,0.06023032291942161,15609326,2688678,0.17224818035064424,0.7072816163044118,0.18085502205898335,0.17276116820640794
p>=4001,4001,450,5,True,0,0.3628566765809334,0.0873874517406234,12487371,2688678,0.21531177379129682,0.7780097734038359,0.2260687775737292,0.2159526040215028
p>=4001,4001,450,7,True,0,0.38033238210341364,0.11241878701997209,10703397,2688678,0.2511985680807691,0.8184258567020539,0.26376750756825484,0.2519451225324166
p>=4001,4001,450,11,True,0,0.39360292776383726,0.13142685953176073,9730320,2688678,0.27631958661174555,0.8404709992251961,0.29009667549148416,0.2771303258518496
p>=4001,4001,450,13,True,0,0.4066105480924655,0.1500583308170559,8981799,2688678,0.2993473801851945,0.8574288063941713,0.3142871474542919,0.30020498032842896
