الترتيب,p,p^2,p^2 + 1,المكونات الأساسية لـ p² + 1,p² + 2,المكونات الأساسية لـ p² + 2
737,5581,31147561,31147562,(2، 37، 337، 1249),31147563,(3، 67، 241، 643)
738,5591,31259281,31259282,(2، 15629641),31259283,(3، 11، 281، 3371)
739,5623,31618129,31618130,(2، 5، 17، 61، 3049),31618131,(3، 449، 23473)
740,5639,31798321,31798322,(2، 1237، 12853),31798323,(3، 3533147)
741,5641,31820881,31820882,(2، 53، 89، 3373),31820883,(3، 59، 179779)
742,5647,31888609,31888610,(2، 5، 13، 18869),31888611,(3، 41، 89، 971)
743,5651,31933801,31933802,(2، 15966901),31933803,(3، 11، 17، 56923)
744,5653,31956409,31956410,(2، 5، 3195641),31956411,(3، 83، 128339)
745,5657,32001649,32001650,(2، 5، 17، 37649),32001651,(3، 11، 323249)
746,5659,32024281,32024282,(2، 313، 51157),32024283,(3، 347، 30763)
747,5669,32137561,32137562,(2، 16068781),32137563,(3، 41، 261281)
748,5683,32296489,32296490,(2، 5، 3229649),32296491,(3، 3588499)
749,5689,32364721,32364722,(2، 13، 1244797),32364723,(3، 10788241)
750,5693,32410249,32410250,(2، 5، 129641),32410251,(3، 3601139)
751,5701,32501401,32501402,(2، 29، 53، 97، 109),32501403,(3، 11، 233، 1409)
752,5711,32615521,32615522,(2، 16307761),32615523,(3، 3623947)
753,5717,32684089,32684090,(2، 5، 137، 23857),32684091,(3، 11، 859، 1153)
754,5737,32913169,32913170,(2، 5، 3291317),32913171,(3، 113، 32363)
755,5741,32959081,32959082,(2، 13، 37، 34261),32959083,(3، 2203، 4987)
756,5743,32982049,32982050,(2، 5، 701، 941),32982051,(3، 2617، 4201)
757,5749,33051001,33051002,(2، 41، 403061),33051003,(3، 139، 79259)
758,5779,33396841,33396842,(2، 1193، 13997),33396843,(3، 73، 2089)
759,5783,33443089,33443090,(2، 5، 29، 115321),33443091,(3، 11، 112603)
760,5791,33535681,33535682,(2، 137، 122393),33535683,(3، 3726187)
761,5801,33651601,33651602,(2، 17، 989753),33651603,(3، 19، 83، 2371)
762,5807,33721249,33721250,(2، 5، 53، 509),33721251,(3، 17، 661201)
763,5813,33790969,33790970,(2، 5، 41، 73، 1129),33790971,(3، 1153، 9769)
764,5821,33884041,33884042,(2، 997، 16993),33884043,(3، 17، 43، 15451)
765,5827,33953929,33953930,(2، 5، 17، 199729),33953931,(3، 11، 19، 547)
766,5839,34093921,34093922,(2، 17046961),34093923,(3، 19، 31481)
767,5843,34140649,34140650,(2، 5، 661، 1033),34140651,(3، 257، 44281)
768,5849,34210801,34210802,(2، 17105401),34210803,(3، 11، 67، 15473)
769,5851,34234201,34234202,(2، 17117101),34234203,(3، 11411401)
770,5857,34304449,34304450,(2، 5، 686089),34304451,(3، 11434817)
771,5861,34351321,34351322,(2، 17، 113، 8941),34351323,(3، 11450441)
772,5867,34421689,34421690,(2، 5، 61، 73، 773),34421691,(3، 131، 87587)
773,5869,34445161,34445162,(2، 17، 409، 2477),34445163,(3، 3329، 3449)
774,5879,34562641,34562642,(2، 17281321),34562643,(3، 11520881)
775,5881,34586161,34586162,(2، 13، 1330237),34586163,(3، 1280969)
776,5897,34774609,34774610,(2، 5، 13، 267497),34774611,(3، 1433، 8089)
777,5903,34845409,34845410,(2، 5، 17، 204973),34845411,(3، 19، 611323)
778,5923,35081929,35081930,(2، 5، 13، 421، 641),35081931,(3، 17، 59، 89، 131)
779,5927,35129329,35129330,(2، 5، 257، 13669),35129331,(3، 139، 28081)
780,5939,35271721,35271722,(2، 97، 181813),35271723,(3، 769، 15289)
781,5953,35438209,35438210,(2، 5، 3543821),35438211,(3، 19، 207241)
782,5981,35772361,35772362,(2، 809، 22109),35772363,(3، 11، 361337)
783,5987,35844169,35844170,(2، 5، 3584417),35844171,(3، 11، 241، 4507)
784,6007,36084049,36084050,(2، 5، 593، 1217),36084051,(3، 4009339)
785,6011,36132121,36132122,(2، 13، 1389697),36132123,(3، 17، 708473)
786,6029,36348841,36348842,(2، 18174421),36348843,(3، 19، 637699)
787,6037,36445369,36445370,(2، 5، 13، 37، 7577),36445371,(3، 12148457)
788,6043,36517849,36517850,(2، 5، 353، 2069),36517851,(3، 569، 2377)
789,6047,36566209,36566210,(2، 5، 3656621),36566211,(3، 11، 43، 73، 353)
790,6053,36638809,36638810,(2، 5، 13، 281837),36638811,(3، 11، 1523)
791,6067,36808489,36808490,(2، 5، 677، 5437),36808491,(3، 19، 645763)
792,6073,36881329,36881330,(2، 5، 17، 29، 7481),36881331,(3، 12293777)
793,6079,36954241,36954242,(2، 13، 1421317),36954243,(3، 17، 41، 43، 137)
794,6089,37075921,37075922,(2، 13، 61، 97، 241),37075923,(3، 521، 7907)
795,6091,37100281,37100282,(2، 1789، 10369),37100283,(3، 11، 1124251)
796,6101,37222201,37222202,(2، 18611101),37222203,(3، 89، 139409)
797,6113,37368769,37368770,(2، 5، 3736877),37368771,(3، 11، 17، 59، 1129)
798,6121,37466641,37466642,(2، 197، 95093),37466643,(3، 12488881)
799,6131,37589161,37589162,(2، 13، 29، 49853),37589163,(3، 19، 433، 1523)
800,6133,37613689,37613690,(2، 5، 17، 97، 2281),37613691,(3، 43، 83، 1171)
801,6143,37736449,37736450,(2، 5، 757، 997),37736451,(3، 19، 220681)
802,6151,37834801,37834802,(2، 101، 157، 1193),37834803,(3، 83، 16883)
803,6163,37982569,37982570,(2، 5، 1217، 3121),37982571,(3، 11، 1150987)
804,6173,38105929,38105930,(2، 5، 37، 181، 569),38105931,(3، 977، 13001)
805,6197,38402809,38402810,(2، 5، 1373، 2797),38402811,(3، 467، 9137)
806,6199,38427601,38427602,(2، 19213801),38427603,(3، 2521، 5081)
807,6203,38477209,38477210,(2، 5، 3847721),38477211,(3، 12825737)
808,6211,38576521,38576522,(2، 61، 316201),38576523,(3، 67، 281، 683)
809,6217,38651089,38651090,(2، 5، 733، 5273),38651091,(3، 73، 176489)
810,6221,38700841,38700842,(2، 19350421),38700843,(3، 41، 314641)
811,6229,38800441,38800442,(2، 953، 20357),38800443,(3، 11، 17، 69163)
812,6247,39025009,39025010,(2، 5، 29، 37، 3637),39025011,(3، 1283، 10139)
813,6257,39150049,39150050,(2، 5، 193، 4057),39150051,(3، 19، 686843)
814,6263,39225169,39225170,(2، 5، 1061، 3697),39225171,(3، 17، 593، 1297)
815,6269,39300361,39300362,(2، 17، 269، 4297),39300363,(3، 1455569)
816,6271,39325441,39325442,(2، 13، 1512517),39325443,(3، 13108481)
817,6277,39400729,39400730,(2، 5، 17، 53، 4373),39400731,(3، 59، 74201)
818,6287,39526369,39526370,(2، 5، 13، 304049),39526371,(3، 4391819)
819,6299,39677401,39677402,(2، 1753، 11317),39677403,(3، 83، 159347)
820,6301,39702601,39702602,(2، 19851301),39702603,(3، 13234201)
821,6311,39828721,39828722,(2، 17، 277، 4229),39828723,(3، 11، 109721)
822,6317,39904489,39904490,(2، 5، 3990449),39904491,(3، 11، 17، 83، 857)
823,6323,39980329,39980330,(2، 5، 13، 41، 577),39980331,(3، 379، 3907)
824,6329,40056241,40056242,(2، 20028121),40056243,(3، 13352081)
825,6337,40157569,40157570,(2، 5، 17، 53، 4457),40157571,(3، 43، 311299)
826,6343,40233649,40233650,(2، 5، 113، 7121),40233651,(3، 179، 74923)
827,6353,40360609,40360610,(2، 5، 89، 101، 449),40360611,(3، 137، 283، 347)
828,6359,40436881,40436882,(2، 20218441),40436883,(3، 19، 89، 2657)
829,6361,40462321,40462322,(2، 20231161),40462323,(3، 11، 457، 2683)
830,6367,40538689,40538690,(2، 5، 4053869),40538691,(3، 1163، 1291)
831,6373,40615129,40615130,(2، 5، 101، 40213),40615131,(3، 13538377)
832,6379,40691641,40691642,(2، 17، 1196813),40691643,(3، 947، 14323)
833,6389,40819321,40819322,(2، 1481، 13781),40819323,(3، 107، 127163)
834,6397,40921609,40921610,(2، 5، 29، 73، 1933),40921611,(3، 19، 717923)
835,6421,41229241,41229242,(2، 29، 710849),41229243,(3، 11، 46273)
836,6427,41306329,41306330,(2، 5، 13، 317741),41306331,(3، 11، 1251707)
837,6449,41589601,41589602,(2، 1297، 16033),41589603,(3، 11، 420097)
838,6451,41615401,41615402,(2، 73، 149، 1913),41615403,(3، 107، 129643)
839,6469,41847961,41847962,(2، 13، 37، 41، 1061),41847963,(3، 241، 57881)
840,6473,41899729,41899730,(2، 5، 17، 246469),41899731,(3، 19، 735083)
841,6481,42003361,42003362,(2، 17، 37، 173، 193),42003363,(3، 14001121)
842,6491,42133081,42133082,(2، 853، 24697),42133083,(3، 953، 14737)
843,6521,42523441,42523442,(2، 13، 97، 1297),42523443,(3، 17، 449، 619)
844,6529,42627841,42627842,(2، 2273، 9377),42627843,(3، 1578809)
845,6547,42863209,42863210,(2، 5، 13، 329717),42863211,(3، 4762579)
846,6551,42915601,42915602,(2، 41، 337، 1553),42915603,(3، 14305201)
847,6553,42941809,42941810,(2، 5، 1033، 4157),42941811,(3، 11، 118297)
848,6563,43072969,43072970,(2، 5، 4307297),43072971,(3، 43، 379، 881)
849,6569,43151761,43151762,(2، 41، 113، 4657),43151763,(3، 17، 846113)
850,6571,43178041,43178042,(2، 29، 241، 3089),43178043,(3، 41، 351041)
851,6577,43256929,43256930,(2، 5، 61، 70913),43256931,(3، 14418977)
852,6581,43309561,43309562,(2، 21654781),43309563,(3، 11، 1312411)
853,6599,43546801,43546802,(2، 13، 61، 27457),43546803,(3، 19، 337، 2267)
854,6607,43652449,43652450,(2، 5، 873049),43652451,(3، 14550817)
855,6619,43811161,43811162,(2، 21905581),43811163,(3، 11، 442537)
856,6637,44049769,44049770,(2، 5، 4404977),44049771,(3، 17، 19، 5051)
857,6653,44262409,44262410,(2، 5، 29، 152629),44262411,(3، 41، 67، 131)
858,6659,44342281,44342282,(2، 2417، 9173),44342283,(3، 211، 70051)
859,6661,44368921,44368922,(2، 13، 149، 881),44368923,(3، 353، 41897)
860,6673,44528929,44528930,(2، 5، 4452893),44528931,(3، 4947659)
861,6679,44609041,44609042,(2، 653، 34157),44609043,(3، 14869681)
862,6689,44742721,44742722,(2، 73، 306457),44742723,(3، 14914241)
863,6691,44769481,44769482,(2، 37، 281، 2153),44769483,(3، 11، 17، 8867)
864,6701,44903401,44903402,(2، 53، 423617),44903403,(3، 19، 163، 179)
865,6703,44930209,44930210,(2، 5، 13، 37، 9341),44930211,(3، 59، 313، 811)
866,6709,45010681,45010682,(2، 89، 252869),45010683,(3، 131، 38177)
867,6719,45144961,45144962,(2، 17، 1327793),45144963,(3، 1451، 3457)
868,6733,45333289,45333290,(2، 5، 41، 110569),45333291,(3، 2659، 5683)
869,6737,45387169,45387170,(2، 5، 4538717),45387171,(3، 5043019)
870,6761,45711121,45711122,(2، 53، 431237),45711123,(3، 139، 109619)
871,6763,45738169,45738170,(2، 5، 229، 19973),45738171,(3، 1657، 3067)
872,6779,45954841,45954842,(2، 17، 157، 8609),45954843,(3، 11، 929، 1499)
873,6781,45981961,45981962,(2، 13، 1768537),45981963,(3، 5109107)
874,6791,46117681,46117682,(2، 13، 109، 16273),46117683,(3، 5124187)
875,6793,46144849,46144850,(2، 5، 922897),46144851,(3، 17، 904801)
876,6803,46280809,46280810,(2، 5، 29، 159589),46280811,(3، 15426937)
877,6823,46553329,46553330,(2، 5، 4655333),46553331,(3، 11، 1410707)
878,6827,46607929,46607930,(2، 5، 29، 173، 929),46607931,(3، 17، 19، 16033)
879,6829,46635241,46635242,(2، 23317621),46635243,(3، 15545081)
880,6833,46689889,46689890,(2، 5، 13، 359153),46689891,(3، 347، 44851)
881,6841,46799281,46799282,(2، 23399641),46799283,(3، 17، 917633)
882,6857,47018449,47018450,(2، 5، 940369),47018451,(3، 15672817)
883,6863,47100769,47100770,(2، 5، 821، 5737),47100771,(3، 581491)
884,6869,47183161,47183162,(2، 13، 1814737),47183163,(3، 15727721)
885,6871,47210641,47210642,(2، 23605321),47210643,(3، 257، 20411)
886,6883,47375689,47375690,(2، 5، 4737569),47375691,(3، 11، 1435627)
887,6899,47596201,47596202,(2، 23798101),47596203,(3، 41، 128987)
888,6907,47706649,47706650,(2، 5، 954133),47706651,(3، 43، 13697)
889,6911,47761921,47761922,(2، 13، 313، 5869),47761923,(3، 11، 1447331)
890,6917,47844889,47844890,(2، 5، 1049، 4561),47844891,(3، 1772033)
891,6947,48260809,48260810,(2، 5، 13، 371237),48260811,(3، 73، 220369)
892,6949,48288601,48288602,(2، 17، 1420253),48288603,(3، 11، 449، 3259)
893,6959,48427681,48427682,(2، 101، 149، 1609),48427683,(3، 41، 393721)
894,6961,48455521,48455522,(2، 41، 590921),48455523,(3، 1794649)
895,6967,48539089,48539090,(2، 5، 4853909),48539091,(3، 19، 97، 8779)
896,6971,48594841,48594842,(2، 24297421),48594843,(3، 11، 131، 1249)
897,6977,48678529,48678530,(2، 5، 29، 229، 733),48678531,(3، 11، 17، 86771)
898,6983,48762289,48762290,(2، 5، 17، 373، 769),48762291,(3، 16254097)
899,6991,48874081,48874082,(2، 17، 113، 12721),48874083,(3، 89، 163، 1123)
900,6997,48958009,48958010,(2، 5، 89، 55009),48958011,(3، 17، 433، 739)
901,7001,49014001,49014002,(2، 29، 845069),49014003,(3، 97، 168433)
902,7013,49182169,49182170,(2، 5، 173، 28429),49182171,(3، 16394057)
903,7019,49266361,49266362,(2، 53، 464777),49266363,(3، 16422121)
904,7027,49378729,49378730,(2، 5، 4937873),49378731,(3، 163، 241، 419)
905,7039,49547521,49547522,(2، 593، 41777),49547523,(3، 139، 118819)
906,7043,49603849,49603850,(2، 5، 41، 24197),49603851,(3، 11، 19، 26371)
907,7057,49801249,49801250,(2، 5، 39841),49801251,(3، 59، 281363)
908,7069,49970761,49970762,(2، 24985381),49970763,(3، 73، 313)
909,7079,50112241,50112242,(2، 53، 233، 2029),50112243,(3، 17، 43، 2539)
910,7103,50452609,50452610,(2، 5، 13، 97، 4001),50452611,(3، 11، 59، 25913)
911,7109,50537881,50537882,(2، 2273، 11117),50537883,(3، 11، 443، 3457)
912,7121,50708641,50708642,(2، 1093، 23197),50708643,(3، 16902881)
913,7127,50794129,50794130,(2، 5، 17، 73، 4093),50794131,(3، 16931377)
914,7129,50822641,50822642,(2، 13، 1954717),50822643,(3، 83، 204107)
915,7151,51136801,51136802,(2، 29، 881669),51136803,(3، 1259، 4513)
916,7159,51251281,51251282,(2، 25625641),51251283,(3، 2099، 2713)
917,7177,51509329,51509330,(2، 5، 317، 16249),51509331,(3، 131، 14563)
918,7187,51652969,51652970,(2، 5، 17، 61، 293),51652971,(3، 637691)
919,7193,51739249,51739250,(2، 5، 349، 593),51739251,(3، 17246417)
920,7207,51940849,51940850,(2، 5، 13، 41، 1949),51940851,(3، 19، 331، 2753)
921,7211,51998521,51998522,(2، 25999261),51998523,(3، 1321، 13121)
922,7213,52027369,52027370,(2، 5، 5202737),52027371,(3، 11، 525529)
923,7219,52113961,52113962,(2، 409، 63709),52113963,(3، 11، 419، 3769)
924,7229,52258441,52258442,(2، 17، 1537013),52258443,(3، 17419481)
925,7237,52374169,52374170,(2، 5، 5237417),52374171,(3، 17458057)
926,7243,52461049,52461050,(2، 5، 89، 11789),52461051,(3، 17487017)
927,7247,52519009,52519010,(2، 5، 113، 46477),52519011,(3، 17506337)
928,7253,52606009,52606010,(2، 5، 97، 193، 281),52606011,(3، 17535337)
929,7283,53042089,53042090,(2، 5، 37، 143357),53042091,(3، 17، 19، 43، 67)
930,7297,53246209,53246210,(2، 5، 17، 97، 3229),53246211,(3، 17748737)
931,7307,53392249,53392250,(2، 5، 41، 5209),53392251,(3، 11، 107، 15121)
932,7309,53421481,53421482,(2، 61، 437881),53421483,(3، 19، 41، 22859)
933,7321,53597041,53597042,(2، 613، 43717),53597043,(3، 19، 379، 827)
934,7331,53743561,53743562,(2، 17، 61، 25913),53743563,(3، 5971507)
935,7333,53772889,53772890,(2، 5، 5377289),53772891,(3، 17924297)
936,7349,54007801,54007802,(2، 29، 931169),54007803,(3، 457، 1459)
937,7351,54037201,54037202,(2، 157، 172093),54037203,(3، 11، 17، 96323)
938,7369,54302161,54302162,(2، 37، 733813),54302163,(3، 41، 43، 10267)
939,7393,54656449,54656450,(2، 5، 1093129),54656451,(3، 674771)
940,7411,54922921,54922922,(2، 1657، 16573),54922923,(3، 11، 59، 9403)
941,7417,55011889,55011890,(2، 5، 5501189),55011891,(3، 11، 67، 139، 179)
942,7433,55249489,55249490,(2، 5، 17، 324997),55249491,(3، 11، 241، 6947)
943,7451,55517401,55517402,(2، 27758701),55517403,(3، 41، 451361)
944,7457,55606849,55606850,(2، 5، 13، 85549),55606851,(3، 59، 67، 521)
945,7459,55636681,55636682,(2، 17، 1636373),55636683,(3، 107، 353، 491)
946,7477,55905529,55905530,(2، 5، 577، 9689),55905531,(3، 11، 769، 2203)
947,7481,55965361,55965362,(2، 2677، 10453),55965363,(3، 1697، 10993)
948,7487,56055169,56055170,(2، 5، 313، 17909),56055171,(3، 17، 1099121)
949,7489,56085121,56085122,(2، 28042561),56085123,(3، 1531، 12211)
950,7499,56235001,56235002,(2، 29، 969569),56235003,(3، 11، 19، 89689)
951,7507,56355049,56355050,(2، 5، 1127101),56355051,(3، 17، 73، 15137)
952,7517,56505289,56505290,(2، 5، 37، 152717),56505291,(3، 18835097)
953,7523,56595529,56595530,(2، 5، 29، 195157),56595531,(3، 787، 23971)
954,7529,56685841,56685842,(2، 521، 54401),56685843,(3، 59، 106753)
955,7537,56806369,56806370,(2، 5، 313، 18149),56806371,(3، 19، 332201)
956,7541,56866681,56866682,(2، 28433341),56866683,(3، 17، 43، 25931)
957,7547,56957209,56957210,(2، 5، 5695721),56957211,(3، 1723، 3673)
958,7549,56987401,56987402,(2، 53، 421، 1277),56987403,(3، 11، 19، 97، 937)
959,7559,57138481,57138482,(2، 28569241),57138483,(3، 19046161)
960,7561,57168721,57168722,(2، 13، 17، 129341),57168723,(3، 193، 98737)
961,7573,57350329,57350330,(2، 5، 5735033),57350331,(3، 6372259)
962,7577,57410929,57410930,(2، 5، 5741093),57410931,(3، 683، 28019)
963,7583,57501889,57501890,(2، 5، 181، 31769),57501891,(3، 97، 65867)
964,7589,57592921,57592922,(2، 28796461),57592923,(3، 17، 971، 1163)
965,7591,57623281,57623282,(2، 37، 778693),57623283,(3، 67، 95561)
966,7603,57805609,57805610,(2، 5، 17، 337، 1009),57805611,(3، 1579، 12203)
967,7607,57866449,57866450,(2، 5، 421، 2749),57866451,(3، 19288817)
968,7621,58079641,58079642,(2، 181، 160441),58079643,(3، 137، 251، 563)
969,7639,58354321,58354322,(2، 13، 29، 193، 401),58354323,(3، 19451441)
970,7643,58415449,58415450,(2، 5، 149، 7841),58415451,(3، 17، 163، 7027)
971,7649,58507201,58507202,(2، 13، 761، 2957),58507203,(3، 19502401)
972,7669,58813561,58813562,(2، 113، 197، 1321),58813563,(3، 19604521)
973,7673,58874929,58874930,(2، 5، 29، 203017),58874931,(3، 107، 6793)
974,7681,58997761,58997762,(2، 29498881),58997763,(3، 11، 43، 13859)
975,7687,59089969,59089970,(2، 5، 653، 9049),59089971,(3، 19696657)
976,7691,59151481,59151482,(2، 13، 2275057),59151483,(3، 17، 386611)
977,7699,59274601,59274602,(2، 41، 113، 6397),59274603,(3، 6586067)
978,7703,59336209,59336210,(2، 5، 709، 8369),59336211,(3، 11، 89، 227)
979,7717,59552089,59552090,(2، 5، 13، 41، 11173),59552091,(3، 735211)
980,7723,59644729,59644730,(2، 5، 5964473),59644731,(3، 137، 145121)
981,7727,59706529,59706530,(2، 5، 13، 37، 12413),59706531,(3، 19، 116387)
982,7741,59923081,59923082,(2، 29961541),59923083,(3، 11، 347، 5233)
983,7753,60109009,60109010,(2، 5، 13، 462377),60109011,(3، 6678779)
984,7757,60171049,60171050,(2، 5، 1203421),60171051,(3، 131، 153107)
985,7759,60202081,60202082,(2، 30101041),60202083,(3، 17، 619، 1907)
986,7789,60668521,60668522,(2، 29، 461، 2269),60668523,(3، 523، 12889)
987,7793,60730849,60730850,(2، 5، 1214617),60730851,(3، 17، 83، 14347)
988,7817,61105489,61105490,(2، 5، 6110549),61105491,(3، 6789499)
989,7823,61199329,61199330,(2، 5، 6119933),61199331,(3، 73، 113، 2473)
990,7829,61293241,61293242,(2، 30646621),61293243,(3، 11، 1857371)
991,7841,61481281,61481282,(2، 17، 6257),61481283,(3، 19، 571، 1889)
992,7853,61669609,61669610,(2، 5، 149، 41389),61669611,(3، 19، 43، 8387)
993,7867,61889689,61889690,(2، 5، 17، 53، 6869),61889691,(3، 4297، 4801)
994,7873,61984129,61984130,(2، 5، 13، 36677),61984131,(3، 11، 139، 13513)
995,7877,62047129,62047130,(2، 5، 397، 15629),62047131,(3، 401، 51577)
996,7879,62078641,62078642,(2، 97، 319993),62078643,(3، 11، 19، 193)
997,7883,62141689,62141690,(2، 5، 13، 269، 1777),62141691,(3، 41، 59، 8563)
998,7901,62425801,62425802,(2، 17، 1836053),62425803,(3، 11، 523، 3617)
999,7907,62520649,62520650,(2، 5، 1250413),62520651,(3، 1601، 4339)
1000,7919,62710561,62710562,(2، 61، 514021),62710563,(3، 1171، 17851)
