الترتيب,p,p^2,p^2 + 1,المكونات الأساسية لـ p² + 1,p² + 2,المكونات الأساسية لـ p² + 2
234,1481,2193361,2193362,(2، 229، 4789),2193363,(3، 243707)
235,1483,2199289,2199290,(2، 5، 17، 761),2199291,(3، 733097)
236,1487,2211169,2211170,(2، 5، 13، 73، 233),2211171,(3، 41، 17977)
237,1489,2217121,2217122,(2، 1108561),2217123,(3، 17، 43، 337)
238,1493,2229049,2229050,(2، 5، 109، 409),2229051,(3، 11، 67547)
239,1499,2247001,2247002,(2، 1123501),2247003,(3، 11، 22697)
240,1511,2283121,2283122,(2، 37، 30853),2283123,(3، 59، 12899)
241,1523,2319529,2319530,(2، 5، 37، 6269),2319531,(3، 17، 45481)
242,1531,2343961,2343962,(2، 1171981),2343963,(3، 781321)
243,1543,2380849,2380850,(2، 5، 17، 2801),2380851,(3، 11، 24049)
244,1549,2399401,2399402,(2، 29، 41، 1009),2399403,(3، 799801)
245,1553,2411809,2411810,(2، 5، 433، 557),2411811,(3، 89، 3011)
246,1559,2430481,2430482,(2، 109، 11149),2430483,(3، 11، 73651)
247,1567,2455489,2455490,(2، 5، 41، 53، 113),2455491,(3، 491، 1667)
248,1571,2468041,2468042,(2، 541، 2281),2468043,(3، 17، 19، 283)
249,1579,2493241,2493242,(2، 73، 17077),2493243,(3، 139، 1993)
250,1583,2505889,2505890,(2، 5، 29، 8641),2505891,(3، 19، 43963)
251,1597,2550409,2550410,(2، 5، 37، 61، 113),2550411,(3، 251، 1129)
252,1601,2563201,2563202,(2، 757، 1693),2563203,(3، 409، 2089)
253,1607,2582449,2582450,(2، 5، 13، 29، 137),2582451,(3، 43، 6673)
254,1609,2588881,2588882,(2، 349، 3709),2588883,(3، 11، 19، 4129)
255,1613,2601769,2601770,(2، 5، 53، 4909),2601771,(3، 867257)
256,1619,2621161,2621162,(2، 17، 77093),2621163,(3، 873721)
257,1621,2627641,2627642,(2، 569، 2309),2627643,(3، 19، 46099)
258,1627,2647129,2647130,(2، 5، 97، 2729),2647131,(3، 882377)
259,1637,2679769,2679770,(2، 5، 173، 1549),2679771,(3، 893257)
260,1657,2745649,2745650,(2، 5، 89، 617),2745651,(3، 281، 3257)
261,1663,2765569,2765570,(2، 5، 276557),2765571,(3، 433، 2129)
262,1667,2778889,2778890,(2، 5، 277889),2778891,(3، 73، 12689)
263,1669,2785561,2785562,(2، 13، 107137),2785563,(3، 11، 83، 113)
264,1693,2866249,2866250,(2، 5، 2293),2866251,(3، 17، 43، 1307)
265,1697,2879809,2879810,(2، 5، 61، 4721),2879811,(3، 11، 19، 1531)
266,1699,2886601,2886602,(2، 29، 157، 317),2886603,(3، 601، 1601)
267,1709,2920681,2920682,(2، 1460341),2920683,(3، 973561)
268,1721,2961841,2961842,(2، 13، 17، 6701),2961843,(3، 113، 8737)
269,1723,2968729,2968730,(2، 5، 29، 353),2968731,(3، 19، 643)
270,1733,3003289,3003290,(2، 5، 37، 8117),3003291,(3، 41، 2713)
271,1741,3031081,3031082,(2، 1515541),3031083,(3، 11، 17، 1801)
272,1747,3052009,3052010,(2، 5، 13، 17، 1381),3052011,(3، 43، 59، 401)
273,1753,3073009,3073010,(2، 5، 307301),3073011,(3، 1024337)
274,1759,3094081,3094082,(2، 197، 7853),3094083,(3، 343787)
275,1777,3157729,3157730,(2، 5، 109، 2897),3157731,(3، 116953)
276,1783,3179089,3179090,(2، 5، 257، 1237),3179091,(3، 1059697)
277,1787,3193369,3193370,(2، 5، 197، 1621),3193371,(3، 118273)
278,1789,3200521,3200522,(2، 13، 17، 557),3200523,(3، 67، 15923)
279,1801,3243601,3243602,(2، 269، 6029),3243603,(3، 11، 227، 433)
280,1811,3279721,3279722,(2، 1639861),3279723,(3، 19، 163، 353)
281,1823,3323329,3323330,(2، 5، 17، 113، 173),3323331,(3، 11، 33569)
282,1831,3352561,3352562,(2، 1676281),3352563,(3، 227، 547)
283,1847,3411409,3411410,(2، 5، 341141),3411411,(3، 1137137)
284,1861,3463321,3463322,(2، 1229، 1409),3463323,(3، 641، 1801)
285,1867,3485689,3485690,(2، 5، 13، 26813),3485691,(3، 11، 137، 257)
286,1871,3500641,3500642,(2، 73، 23977),3500643,(3، 739، 1579)
287,1873,3508129,3508130,(2، 5، 29، 12097),3508131,(3، 11، 106307)
288,1877,3523129,3523130,(2، 5، 13، 41، 661),3523131,(3، 17، 23027)
289,1879,3530641,3530642,(2، 277، 6373),3530643,(3، 1176881)
290,1889,3568321,3568322,(2، 1069، 1669),3568323,(3، 11، 108131)
291,1901,3613801,3613802,(2، 1806901),3613803,(3، 809، 1489)
292,1907,3636649,3636650,(2، 5، 72733),3636651,(3، 601، 2017)
293,1913,3659569,3659570,(2، 5، 293، 1249),3659571,(3، 19، 21401)
294,1931,3728761,3728762,(2، 29، 53، 1213),3728763,(3، 17، 24371)
295,1933,3736489,3736490,(2، 5، 373649),3736491,(3، 11، 113227)
296,1949,3798601,3798602,(2، 1899301),3798603,(3، 140689)
297,1951,3806401,3806402,(2، 17، 111953),3806403,(3، 19، 43، 1553)
298,1973,3892729,3892730,(2، 5، 389273),3892731,(3، 233، 5569)
299,1979,3916441,3916442,(2، 941، 2081),3916443,(3، 17، 41، 1873)
300,1987,3948169,3948170,(2، 5، 394817),3948171,(3، 907، 1451)
301,1993,3972049,3972050,(2، 5، 17، 4673),3972051,(3، 131، 1123)
302,1997,3988009,3988010,(2، 5، 13، 30677),3988011,(3، 1329337)
303,1999,3996001,3996002,(2، 277، 7213),3996003,(3، 11، 17، 419)
304,2003,4012009,4012010,(2، 5، 401201),4012011,(3، 49531)
305,2011,4044121,4044122,(2، 193، 10477),4044123,(3، 449347)
306,2017,4068289,4068290,(2، 5، 73، 5573),4068291,(3، 211، 6427)
307,2027,4108729,4108730,(2، 5، 17، 24169),4108731,(3، 11، 19، 6553)
308,2029,4116841,4116842,(2، 37، 55633),4116843,(3، 59، 7753)
309,2039,4157521,4157522,(2، 853، 2437),4157523,(3، 19، 41، 593)
310,2053,4214809,4214810,(2، 5، 17، 24793),4214811,(3، 1404937)
311,2063,4255969,4255970,(2، 5، 61، 6977),4255971,(3، 499، 2843)
312,2069,4280761,4280762,(2، 157، 13633),4280763,(3، 577، 2473)
313,2081,4330561,4330562,(2، 89، 24329),4330563,(3، 17، 84913)
314,2083,4338889,4338890,(2، 5، 433889),4338891,(3، 482099)
315,2087,4355569,4355570,(2، 5، 17، 25621),4355571,(3، 11، 89، 1483)
316,2089,4363921,4363922,(2، 661، 3301),4363923,(3، 193، 7537)
