h,empirical,theory
34260,1.0001779953633207,0.9998855846278977
34750,1.000359470746276,0.9998855846278977
35454,1.0003477954027977,0.9998855846278977
36182,0.9994393928095353,0.9998855846278977
36392,0.9995622846652612,1.0001054846904944
36628,0.9988689033891136,0.9998855846278977
36666,1.0003754893354813,0.9998855846278977
37046,0.999547490208936,0.9998855846278977
37080,0.999579002510622,0.9998855846278977
38104,0.999057319404349,0.9998855846278977
38748,1.000092773937104,1.0001954345146742
40242,1.0009618140742107,0.9998855846278977
40640,1.0015951198750412,0.9998855846278977
40854,1.000629651937971,0.9998855846278977
40920,1.0002838815502213,0.9998855846278977
41086,1.001185372364858,0.9998855846278977
41796,1.0008560097007357,0.9998855846278977
43302,1.002337521895896,1.0008572907354079
43432,1.0025714675989013,0.9998855846278977
43522,0.9998287268210926,0.9998855846278977
43672,0.9994804173673388,0.9998855846278977
43716,1.0009841385478666,1.0001602030252137
43888,1.000061312013537,0.9998855846278977
43962,0.9999005201755975,0.9998855846278977
44342,0.9995670381894362,0.9998855846278977
44570,0.999572408100949,1.0001100258365683
44616,1.0004978875100863,0.9998855846278977
44704,0.9995876839951174,0.9998855846278977
44938,1.0014053205839681,0.9998855846278977
45040,1.000256145352399,0.9998855846278977
45046,1.0001372869679723,0.9998855846278977
45742,0.9995442735059378,0.9998855846278977
45892,1.0001968073368184,0.9998855846278977
46188,1.0004641524354922,1.0006661354355697
46296,0.9987121367913115,0.9998855846278977
46674,1.00020531225797,1.0002714918392555
46956,1.000644555692461,0.9998855846278977
47110,1.0013456463427775,0.9998855846278977
47158,1.0004688155386852,0.9998855846278977
47572,1.0020731531880989,1.0004747923972719
49508,1.0002546765140132,0.9998855846278977
49564,0.9999133081183438,0.9998855846278977
49734,1.0000366431464565,0.9998855846278977
49780,0.9989452851670501,0.9998855846278977
50036,1.0018687037907512,1.0004457446192858
50106,1.0005769049132873,1.000725119123807
50502,1.0010653554271893,0.9998855846278977
50562,0.9998997783629522,0.9998855846278977
51324,1.0001610416153812,0.9998855846278977
52648,1.0000676073094381,1.00003756602091
54544,1.0012197718546665,0.9998855846278977
54658,1.0002753392613535,0.9998855846278977
55358,1.0004090360135656,0.9998855846278977
55460,1.000824790259954,0.9998855846278977
55566,1.0002087026521844,0.9998855846278977
55704,1.0001006221147382,0.9998855846278977
55922,0.9986888259474476,0.9998855846278977
56450,1.0013119123402416,1.000772794552146
56524,1.0021171283275212,1.0008071381621169
56538,1.0005384724416768,0.9998855846278977
56876,0.9984892951143164,0.9998855846278977
57462,1.002331867133669,0.9998855846278977
60284,1.0014340623552047,1.0003504314826759
60720,1.0005031129741238,0.9998855846278977
62978,1.0002187617358917,0.9998855846278977
63030,1.0007882875097256,0.9998855846278977
63168,1.0008839316252205,0.9998855846278977
63472,1.0015409201975374,1.0001377625811456
63678,0.9999374136670279,0.9998855846278977
64388,1.000477359351787,0.9998855846278977
65444,0.9997412094143392,0.9998855846278977
65458,1.0001869288629275,1.0005892338781637
66192,1.0008283024633597,0.9998855846278977
66432,1.001164535726443,0.9998855846278977
66486,1.0008315942337782,1.0005180233278521
66842,1.0005871332447345,1.0004546714717382
66982,1.0004797281334845,0.9998855846278977
67792,0.9996569874779957,0.9998855846278977
68250,0.999664608032686,0.9998855846278977
68306,0.9999373956893618,0.9998855846278977
68372,1.0003529849223514,0.9998855846278977
68648,1.0002640107855723,0.9998855846278977
69634,1.0017262590983915,0.9998855846278977
69678,0.9990743174907395,0.9998855846278977
69738,0.999698434572428,0.9998855846278977
69972,0.9992948440602555,0.9998855846278977
70028,0.9988340024313875,0.9998855846278977
70054,1.000361409930974,0.9998855846278977
70518,1.0001635044652748,0.9998855846278977
71690,1.0009814079178398,0.9998855846278977
71706,1.0007847623433719,0.9998855846278977
71748,1.00224901856196,1.0003877873323819
72236,0.9992104681488234,0.9998855846278977
73576,0.9986256452567037,0.9998855846278977
73692,1.0014196303073903,0.9998855846278977
74338,1.0024173295398398,0.9998855846278977
74478,0.9998661537525482,0.9998855846278977
75810,1.0000824195577347,0.9998855846278977
75990,1.0015811575011233,0.9998855846278977
76114,1.0007083062176099,1.0003852775737387
76424,1.0010079245975207,0.9998855846278977
76500,1.0010028012791399,0.9998855846278977
76786,1.0005194525548176,0.9998855846278977
77156,0.9982869659678699,0.9998855846278977
77396,1.0000441530769852,1.0004546714717382
77840,0.9997642626578404,0.9998855846278977
77876,1.000629918872827,0.9998855846278977
78038,1.0000866475437273,0.9998855846278977
78074,1.0003876596678598,0.9998855846278977
78158,1.0005621964896287,0.9998855846278977
78390,1.0010097117647672,0.9998855846278977
78608,1.0008601966255857,0.9998855846278977
78694,0.9996543678809048,0.9998855846278977
78902,0.9989582305480218,0.9998855846278977
79492,1.0011321020220425,0.9998855846278977
79568,1.0015606444581258,1.0000867283785773
79686,1.0007145145877552,0.9998855846278977
80478,1.0007748609741005,0.9998855846278977
80490,0.999880653428634,1.0002585371025816
81404,0.9999090453446492,0.9998855846278977
82168,1.0016872599346622,0.9998855846278977
82278,0.9998161326382567,0.9998855846278977
82764,1.000574296089885,0.9998855846278977
83226,0.9992051285914682,0.9998855846278977
83268,1.0002216471545433,0.9998855846278977
83274,1.0014274406354728,0.9998855846278977
83976,1.0014257092513767,1.0001715113035132
84170,1.0001201728463833,0.9998855846278977
85342,1.0018051926919969,0.9998855846278977
85510,0.9992804388912576,0.9998855846278977
85568,0.9996874674186624,0.9998855846278977
85830,1.000731046145759,1.000235317256309
85860,1.000668676321742,0.9998855846278977
88790,0.9998559216506687,0.9998855846278977
89314,1.0012077059443136,0.9998855846278977
89810,1.0016159960613717,1.0006661354355697
90064,1.000111183032508,0.9998855846278977
90262,0.9999929635142625,0.9998855846278977
90554,1.0003177728652826,1.0003055281745703
90860,1.0011341704813417,0.9998855846278977
91766,0.9995735837284995,1.0002563245554572
92254,1.001114565707436,0.9998855846278977
92678,0.9992394881019449,0.9998855846278977
93806,1.0008234519611838,0.9998855846278977
94032,0.999578051136912,0.9998855846278977
95970,0.9996072456448257,0.9998855846278977
96190,1.00101002541598,0.9998855846278977
96752,1.0021662218567766,1.000050991672501
96918,1.000295534051449,0.9998855846278977
97070,1.0001781711612892,0.9998855846278977
97564,1.0000662422906064,0.9998855846278977
98274,1.0002575452417304,1.0005580026404248
99268,1.0008762753893048,0.9998855846278977
99612,1.00008536440468,1.0002472069008193
