المكون_الأولي,عدد_مرات_التكرار,النسبة_من_1000
65707,1,0.001
65867,1,0.001
67547,1,0.001
68777,1,0.001
68819,1,0.001
69163,1,0.001
69403,1,0.001
69467,1,0.001
69931,1,0.001
70051,1,0.001
70841,1,0.001
73529,1,0.001
73651,1,0.001
74201,1,0.001
74297,1,0.001
74923,1,0.001
75041,1,0.001
75337,1,0.001
76481,1,0.001
77513,1,0.001
78193,1,0.001
79259,1,0.001
83299,1,0.001
84913,1,0.001
86171,1,0.001
86771,1,0.001
87587,1,0.001
87803,1,0.001
89689,1,0.001
89899,1,0.001
90163,1,0.001
90203,1,0.001
90481,1,0.001
90659,1,0.001
91577,1,0.001
92203,1,0.001
92243,1,0.001
93179,1,0.001
94907,1,0.001
95561,1,0.001
96323,1,0.001
97561,1,0.001
98387,1,0.001
98737,1,0.001
101963,1,0.001
106307,1,0.001
106753,1,0.001
107251,1,0.001
107273,1,0.001
108131,1,0.001
109619,1,0.001
109721,1,0.001
110977,1,0.001
112603,1,0.001
112939,1,0.001
113227,1,0.001
115001,1,0.001
116387,1,0.001
116833,1,0.001
116953,1,0.001
118043,1,0.001
118273,1,0.001
118297,1,0.001
118819,1,0.001
119419,1,0.001
120401,1,0.001
122267,1,0.001
127163,1,0.001
128201,1,0.001
128339,1,0.001
128939,1,0.001
128987,1,0.001
129643,1,0.001
132721,1,0.001
132739,1,0.001
133499,1,0.001
134363,1,0.001
137483,1,0.001
139409,1,0.001
139537,1,0.001
140689,1,0.001
141539,1,0.001
144139,1,0.001
145121,1,0.001
145139,1,0.001
145451,1,0.001
149489,1,0.001
152777,1,0.001
153107,1,0.001
155137,1,0.001
156011,1,0.001
159161,1,0.001
159347,1,0.001
165049,1,0.001
166841,1,0.001
167491,1,0.001
168347,1,0.001
168433,1,0.001
172321,1,0.001
175963,1,0.001
176353,1,0.001
176489,1,0.001
176777,1,0.001
177787,1,0.001
177907,1,0.001
179779,1,0.001
182041,1,0.001
182899,1,0.001
184441,1,0.001
191353,1,0.001
191507,1,0.001
194659,1,0.001
195659,1,0.001
204107,1,0.001
207241,1,0.001
208001,1,0.001
209459,1,0.001
220369,1,0.001
220681,1,0.001
221233,1,0.001
222977,1,0.001
227977,1,0.001
229081,1,0.001
232049,1,0.001
237067,1,0.001
240811,1,0.001
243707,1,0.001
248257,1,0.001
251171,1,0.001
258721,1,0.001
260179,1,0.001
261281,1,0.001
265339,1,0.001
279577,1,0.001
281363,1,0.001
287681,1,0.001
290993,1,0.001
291899,1,0.001
293129,1,0.001
298723,1,0.001
298937,1,0.001
299099,1,0.001
311299,1,0.001
314059,1,0.001
314641,1,0.001
321851,1,0.001
322097,1,0.001
323249,1,0.001
331337,1,0.001
332201,1,0.001
339467,1,0.001
342899,1,0.001
343787,1,0.001
348451,1,0.001
351041,1,0.001
355697,1,0.001
361337,1,0.001
362147,1,0.001
362723,1,0.001
376657,1,0.001
377129,1,0.001
379531,1,0.001
386611,1,0.001
389027,1,0.001
393713,1,0.001
393721,1,0.001
393857,1,0.001
406403,1,0.001
409961,1,0.001
411841,1,0.001
414361,1,0.001
417283,1,0.001
420097,1,0.001
439123,1,0.001
442537,1,0.001
449321,1,0.001
449347,1,0.001
451361,1,0.001
469657,1,0.001
480059,1,0.001
481801,1,0.001
482099,1,0.001
497291,1,0.001
497873,1,0.001
498577,1,0.001
519131,1,0.001
525529,1,0.001
528707,1,0.001
532033,1,0.001
544883,1,0.001
560737,1,0.001
565937,1,0.001
569417,1,0.001
581491,1,0.001
592387,1,0.001
593353,1,0.001
611323,1,0.001
637691,1,0.001
637699,1,0.001
645763,1,0.001
658633,1,0.001
661201,1,0.001
674771,1,0.001
674977,1,0.001
680681,1,0.001
686843,1,0.001
697891,1,0.001
697937,1,0.001
708473,1,0.001
709561,1,0.001
717923,1,0.001
723067,1,0.001
724553,1,0.001
733097,1,0.001
735083,1,0.001
735211,1,0.001
739027,1,0.001
748211,1,0.001
781321,1,0.001
