base_wheel_q0,tail_cutoff_Q,simulations,R_observed,R_mc_mean,R_error_z,lag1_observed,lag1_mc_mean,lag1_error_z,runs_observed,runs_mc_mean,runs_error_z,balance_score_R_lag1
97,6311,400,0.5461958159670286,0.574439518508066,0.7589731238277286,-0.1236687027678736,-0.0703551294473591,1.215895403836358,256,234.855,-2.1454923034595828,1.4333324233279596
97,7919,400,0.5461958159670286,0.5597749226262261,0.3835301210345293,-0.1236687027678736,-0.0751280603312664,1.093052037123215,256,235.595,-2.090439532606322,1.1583859933545342
251,251,400,0.6668311316396729,1.0042487540582792,5.082876533814858,-0.1237069690819751,-0.0019187959695995,2.6987729950786554,256,225.745,-2.837135772165868,5.754911774907723
251,397,400,0.6668311316396729,0.9351808512929348,4.431268196003352,-0.1237069690819751,-0.0058125197929398,2.4497976353910844,256,226.7875,-3.073925138951642,5.06336313918709
251,499,400,0.6668311316396729,0.8985722564377463,3.843477338297906,-0.1237069690819751,-0.0108806388466338,2.3669371066073177,256,226.7875,-2.652005716747698,4.51383532227796
251,631,400,0.6668311316396729,0.8687089279179897,3.56330798797432,-0.1237069690819751,-0.0106831851948366,2.5042864283283275,256,227.4375,-2.76905351869055,4.355297272548803
251,797,400,0.6668311316396729,0.8437765447785017,3.1397358596516285,-0.1237069690819751,-0.0148025882765695,2.400016231233362,256,227.9025,-2.668518035690412,3.951963964735248
251,997,400,0.6668311316396729,0.8160065777284305,2.7598059922335154,-0.1237069690819751,-0.0248681497056642,2.1071095652327205,256,229.16,-2.639146576103324,3.4722384472647096
251,1259,400,0.6668311316396729,0.7846426237450771,2.241070001000655,-0.1237069690819751,-0.027247623310908,1.9945864211261743,256,229.1025,-2.4767259318666475,3.000128287378057
251,1583,400,0.6668311316396729,0.7694401982667274,2.005887646019325,-0.1237069690819751,-0.0294755389394562,1.9901883538916707,256,229.0275,-2.504314884545456,2.825674243860921
251,1999,400,0.6668311316396729,0.7507638175869835,1.7114854216504558,-0.1237069690819751,-0.033654484279275,1.9980776048022333,256,230.0375,-2.483405818658329,2.6308737072186243
251,2503,400,0.6668311316396729,0.7277146646681422,1.2835016837506477,-0.1237069690819751,-0.0398429513702771,1.8120694061925808,256,231.18,-2.278895323763014,2.2205792273751186
251,3163,400,0.6668311316396729,0.7052883715052637,0.7845606811796196,-0.1237069690819751,-0.0455535049238128,1.755627427407572,256,232.1275,-2.287899559483664,1.9229568706340656
251,3989,400,0.6668311316396729,0.6934000983880889,0.580794056536397,-0.1237069690819751,-0.0479492157513938,1.6462686423184494,256,231.9475,-2.2307643180842005,1.7457153773708456
251,5003,400,0.6668311316396729,0.6723261845201367,0.1258574495804733,-0.1237069690819751,-0.0504022832919496,1.6809112962523034,256,232.135,-2.349839033618506,1.6856164698659954
251,6311,400,0.6668311316396729,0.6607386654380847,-0.148737257100682,-0.1237069690819751,-0.0528677468440049,1.50215464352798,256,232.38,-2.3733814513264835,1.509500362610923
251,7919,400,0.6668311316396729,0.646860286003006,-0.4832426754797215,-0.1237069690819751,-0.0608251967797951,1.4406986565339872,256,233.0725,-2.4182898494776333,1.5195841873169236
997,997,400,0.98942406254616,1.0021084256501185,0.198118190261284,-0.124266513277359,-0.0008954099966687,2.6722392561092883,256,224.8325,-3.0116380378231327,2.6795733726106343
997,1259,400,0.98942406254616,0.9661201936119344,-0.3343915418919068,-0.124266513277359,-0.0104107824680534,2.4612933016907084,256,227.0275,-2.7226759411800963,2.48390467213144
997,1583,400,0.98942406254616,0.9258909889753286,-1.1195586425416193,-0.124266513277359,-0.0143151106568813,2.3281242970338227,256,226.9875,-2.8674937724397265,2.583326207920491
997,1999,400,0.98942406254616,0.8980158834756601,-1.51349396764208,-0.124266513277359,-0.0163917885703537,2.4098401977745705,256,227.9,-2.5578588991787936,2.845697413447035
997,2503,400,0.98942406254616,0.8746389947370371,-1.91948569202424,-0.124266513277359,-0.0210610977429991,2.177586870762988,256,228.29,-2.5315128420309287,2.902810689935724
997,3163,400,0.98942406254616,0.8436825646880712,-2.583755476752277,-0.124266513277359,-0.021873366432508,2.269409120499493,256,228.285,-2.679482465615868,3.4388966427989183
997,3989,400,0.98942406254616,0.8172977589964454,-3.207036534312828,-0.124266513277359,-0.0237475908317631,2.1862580276982566,256,228.1075,-2.7118413059819795,3.881340940460179
997,5003,400,0.98942406254616,0.7925525982005732,-3.7644390314488856,-0.124266513277359,-0.0314801155786345,2.119625660062927,256,229.9375,-2.4865079233450915,4.320163672859285
997,6311,400,0.98942406254616,0.7703848615531945,-4.686999439981151,-0.124266513277359,-0.0367898469131232,1.9640754770288065,256,230.8075,-2.453528968833459,5.081885105927677
997,7919,400,0.98942406254616,0.749029906882122,-5.569732170475383,-0.124266513277359,-0.0451161326025544,1.8687279313702927,256,230.955,-2.413060808503245,5.874866852304988
