mode,panel_id,median_X,median_H,X_over_H,alpha_log,alpha_best,alpha_relative_error,rho1_pred,rho1_target,kernel_rmse_log,shape_rmse,kernel_rmse_best_scalar
uniform,X2e+10_off+128,20434702573.0,2857380.0,7151.552321707299,0.661738249689806,0.6441756213018202,-0.026540143925817238,-0.07474873960335933,-0.07287920692067598,0.0005574221178528477,0.002899358555613431,0.0002091951577064301
uniform,X2e+11_off-128,198311683813.0,8907600.0,22263.200392137052,0.5866711286664111,0.573410229701606,-0.022603633137613304,-0.06626929522367918,-0.06479155639566465,0.0004359183825177545,0.003002910125298634,0.0001944921644869766
uniform,X2e+11_off+0,199995889735.0,10725120.0,18647.426763989588,0.5972446090916763,0.5718530022452688,-0.042514585246779396,-0.06746365618948379,-0.0645992545587976,0.0007684025206453681,0.002787826258035911,0.0001800887962344687
uniform,X2e+11_off+128,201604592035.0,8965740.0,22486.10734139067,0.586087858760117,0.5739105544476237,-0.020777267657881,-0.06620341012429964,-0.06519980135338169,0.00040867564209906896,0.003362287894094069,0.0001966598960184766
uniform,X2e+12_off-128,1994815852135.0,28256700.0,70596.20734675316,0.5260299293698,0.511918416824067,-0.026826444196129635,-0.0594193765170265,-0.05792783428454215,0.0004390160173214922,0.0025074643791269356,0.00014277930872588874
uniform,X2e+12_off+0,2000011137493.0,33950952.0,58908.83818200444,0.5346976166405247,0.5205809442790253,-0.026401225519189046,-0.06039846258174539,-0.05883630982897275,0.00044793569634318125,0.0028563193207430167,0.00016784276888489932
uniform,X2e+12_off+128,2005625272423.0,33993480.0,59000.292774467336,0.5346221100985131,0.519697550687992,-0.02791609087729476,-0.06038993350117641,-0.05891310500066519,0.0004648137307927972,0.0027492891270815734,0.0001525465785111923
sqrtH,X2e+07_off-128,11672569.0,44544.0,262.04581986350576,1.054675872459716,1.0635335771434316,0.00839850888316763,-0.11743648181320952,-0.11819768921971856,0.0005031281264067945,0.003692786096384488,0.0004325193732583491
sqrtH,X2e+07_off+0,20043595.0,56412.0,355.307292774587,1.0,1.0000000000000002,2.220446049250313e-16,-0.1129581668256271,-0.11295816682562704,4.740709178292352e-17,4.4302541759192918e-16,4.8008295904298276e-17
sqrtH,X2e+07_off+128,31069495.0,70020.0,443.72315052842043,0.9635421685528552,0.9765168943426907,0.01346565434631911,-0.10825113443179651,-0.10979230136494036,0.0004406410344596858,0.002048803516663784,0.00022388994957063597
